TEAM0,TEAM1,TEAM0_WIN,GP_DIFF,W_DIFF,L_DIFF,MIN_DIFF,FGM_DIFF,FGA_DIFF,FG_PCT_DIFF,FG3M_DIFF,FG3A_DIFF,FG3_PCT_DIFF,FTM_DIFF,FTA_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,REB_DIFF,AST_DIFF,TOV_DIFF,STL_DIFF,BLK_DIFF,BLKA_DIFF,PF_DIFF,PFD_DIFF,PTS_DIFF,PLUS_MINUS_DIFF,GP_RANK_DIFF,W_RANK_DIFF,L_RANK_DIFF,MIN_RANK_DIFF,FGM_RANK_DIFF,FGA_RANK_DIFF,FG_PCT_RANK_DIFF,FG3M_RANK_DIFF,FG3A_RANK_DIFF,FG3_PCT_RANK_DIFF,FTM_RANK_DIFF,FTA_RANK_DIFF,FT_PCT_RANK_DIFF,OREB_RANK_DIFF,DREB_RANK_DIFF,REB_RANK_DIFF,AST_RANK_DIFF,TOV_RANK_DIFF,STL_RANK_DIFF,BLK_RANK_DIFF,BLKA_RANK_DIFF,PF_RANK_DIFF,PFD_RANK_DIFF,PTS_RANK_DIFF,PLUS_MINUS_RANK_DIFF
Milwaukee Bucks,Atlanta Hawks,0,0,8,-8,-5.0,-111,-446,0.014000000000000012,54,-86,0.029000000000000026,-51,-5,-0.025000000000000022,-300,207,-93,-336,-176.0,-197,-35,-88,-95,-11,-219,296.0,0,-5,-5,4,6,20,-10,-6,3,-17,5,1,10,21,-21,8,19,-19,25,7,-13,-13,4,6,-7
Atlanta Hawks,Minnesota Timberwolves,1,0,-9,9,-10.0,192,346,0.003999999999999948,-126,-180,-0.019000000000000017,61,111,-0.014000000000000012,66,-51,15,284,87.0,144,13,35,66,-8,319,-503.0,0,6,6,8,-13,-17,-2,9,10,14,-9,-12,8,-6,10,-1,-15,8,-16,-2,4,10,1,-8,14
New Orleans Pelicans,Atlanta Hawks,0,0,-19,19,-5.0,-224,-160,-0.019999999999999962,-121,-250,-0.01100000000000001,-116,-101,-0.02100000000000002,19,-92,-73,-307,-72.0,-97,10,25,-65,-92,-685,-680.0,0,11,11,4,16,8,10,13,10,6,19,10,9,-2,3,6,17,-7,6,-2,6,-9,17,20,11
New York Knicks,Atlanta Hawks,0,0,11,-11,20.0,-3,-213,0.014000000000000012,-76,-295,0.01100000000000001,-115,-204,0.025000000000000022,-84,-68,-152,-172,-185.0,-127,-95,3,-157,-9,-197,429.0,0,-11,-11,-12,1,13,-9,10,12,-10,18,19,-13,10,2,10,9,-21,11,17,1,-18,2,4,-10
Atlanta Hawks,Oklahoma City Thunder,0,0,-28,28,15.0,-104,-72,-0.010000000000000009,-85,-95,-0.016000000000000014,103,228,-0.04399999999999993,103,-126,-23,224,312.0,-49,-46,11,-67,78,-190,-1148.0,0,15,15,-15,3,2,7,8,5,12,-16,-22,17,-11,17,3,-10,25,1,10,1,-3,-15,1,17
Orlando Magic,Atlanta Hawks,0,0,1,-1,-10.0,-426,-494,-0.02699999999999997,-186,-197,-0.03999999999999998,-8,-10,0.0,-60,-158,-218,-539,-108.0,-69,69,-42,84,103,-1046,83.0,0,-1,-1,9,23,24,13,16,8,12,2,3,1,5,5,13,28,-10,4,-11,-7,4,-7,23,-1
Philadelphia 76ers,Atlanta Hawks,0,0,-16,16,5.0,-302,-360,-0.01799999999999996,-66,-39,-0.01699999999999996,-33,-56,0.0050000000000000044,-122,-264,-386,-525,-156.0,-46,-53,17,-8,-33,-703,-418.0,0,10,10,-5,20,18,9,7,2,9,4,5,-3,13,7,16,27,-17,3,11,4,-3,9,21,7
Phoenix Suns,Atlanta Hawks,0,0,-4,4,10.0,-175,-453,0.006000000000000005,69,23,0.020000000000000018,-93,-198,0.03500000000000003,-191,26,-165,-149,-120.0,-205,-27,-74,-93,-54,-374,-153.0,0,5,5,-8,12,21,-3,-7,-3,-15,15,18,-16,19,-5,11,8,-11,26,4,-12,-12,12,13,5
Atlanta Hawks,Portland Trail Blazers,1,0,4,-4,0.0,231,132,0.021999999999999964,50,-6,0.01599999999999996,86,80,0.013000000000000012,-121,99,-22,474,-36.0,120,-14,-50,6,-18,598,151.0,0,-5,-5,0,-17,-4,-12,-5,1,-8,-13,-8,-8,7,-4,2,-25,-3,-9,4,-11,1,5,-17,-4
Atlanta Hawks,Sacramento Kings,1,0,0,0,-20.0,27,143,-0.006000000000000005,75,202,0.0010000000000000009,72,162,-0.031000000000000028,73,-48,25,257,181.0,178,62,53,16,48,201,-132.0,0,0,0,12,-3,-5,2,-9,-9,-1,-10,-15,14,-7,9,-2,-11,20,-23,-13,10,5,-11,-5,2
San Antonio Spurs,Atlanta Hawks,0,0,-6,6,-10.0,-130,-166,-0.006999999999999951,51,157,-0.0010000000000000009,-140,-179,-0.0010000000000000009,-78,10,-68,-78,-135.0,-125,36,-47,-201,-135,-349,-133.0,0,7,7,9,8,10,3,-5,-8,2,21,17,3,8,-2,5,4,-16,10,-8,-8,-19,20,11,3
Atlanta Hawks,Toronto Raptors,1,0,10,-10,-5.0,142,66,0.013999999999999957,138,303,0.010000000000000009,178,171,0.027000000000000024,-60,9,-51,86,16.0,134,71,-81,-174,79,600,259.0,0,-8,-8,5,-9,-1,-6,-15,-13,-5,-25,-16,-11,5,-1,4,-5,2,-14,-16,-14,-8,-16,-18,-6
Atlanta Hawks,Utah Jazz,1,0,23,-23,-5.0,251,256,0.01799999999999996,-37,-178,0.008000000000000007,51,64,0.0010000000000000009,-9,-66,-75,333,-139.0,243,59,-124,15,-17,516,673.0,0,-14,-14,5,-19,-15,-8,4,9,-4,-5,-6,-4,1,12,9,-18,-4,-28,-12,-15,4,4,-16,-10
Atlanta Hawks,Washington Wizards,1,0,22,-22,10.0,323,157,0.032999999999999974,32,-121,0.022999999999999965,157,210,-0.0030000000000000027,107,-41,66,368,-3.0,175,-1,-25,-54,73,835,927.0,0,-13,-13,-9,-21,-7,-14,-3,6,-11,-22,-21,2,-12,8,-4,-23,-1,-21,1,-6,-2,-13,-22,-12
Brooklyn Nets,Boston Celtics,0,0,-35,35,-10.0,-327,-322,-0.025000000000000022,-344,-723,-0.02400000000000002,83,131,-0.01200000000000001,-39,-290,-329,-81,271.0,50,-100,162,395,112,-915,-1330.0,0,22,22,8,14,17,10,12,7,15,-7,-7,5,8,22,21,8,21,-9,21,26,26,-13,21,23
Boston Celtics,Charlotte Hornets,1,0,42,-42,15.0,271,74,0.03200000000000003,392,812,0.02899999999999997,-18,-56,0.016000000000000014,-70,80,10,150,-298.0,-18,84,-140,-232,-50,916,1494.0,0,-25,-25,-12,-12,-8,-11,-17,-10,-18,1,2,-8,4,-9,-1,-10,-23,3,-16,-22,-14,5,-22,-24
Boston Celtics,Chicago Bulls,0,0,22,-22,15.0,-130,-163,-0.007999999999999952,191,508,0.0010000000000000009,-57,-52,-0.010000000000000009,108,-152,-44,-239,-230.0,-32,66,-122,-141,64,-126,875.0,0,-15,-15,-12,8,7,4,-2,-2,-3,3,1,3,-15,6,5,11,-18,5,-13,-17,-4,-3,2,-17
Boston Celtics,Cleveland Cavaliers,0,0,-3,3,15.0,-239,-62,-0.02899999999999997,154,554,-0.015000000000000013,-141,-228,0.02300000000000002,16,-23,-7,-160,-109.0,-81,102,-66,-184,-115,-465,-35.0,0,1,1,-12,12,4,17,-1,-3,8,15,15,-11,-3,2,2,7,-1,15,-22,-7,-9,16,7,1
Dallas Mavericks,Boston Celtics,0,0,-22,22,-20.0,30,-188,0.01699999999999996,-437,-1154,-0.0040000000000000036,207,329,-0.029000000000000026,-105,-81,-186,-74,178.0,47,-7,80,155,94,-170,-845.0,0,15,15,17,-3,10,-9,25,25,5,-24,-24,18,14,10,15,6,11,-8,2,11,6,-11,7,16
Denver Nuggets,Boston Celtics,1,0,-11,11,5.0,311,-22,0.043999999999999984,-473,-1336,0.008000000000000007,219,344,-0.029000000000000026,-14,49,35,398,196.0,67,-50,125,141,124,368,-428.0,0,3,3,-2,-15,5,-18,27,29,-5,-26,-29,17,2,-4,-4,-15,15,-12,10,18,4,-18,-5,6
Boston Celtics,Detroit Pistons,1,0,17,-17,5.0,-90,19,-0.013999999999999957,406,1054,0.006000000000000005,-163,-261,0.025000000000000022,2,44,46,-21,-245.0,-63,21,-118,-392,-113,63,591.0,0,-11,-11,-3,6,-3,6,-19,-21,-7,19,19,-14,-1,-5,-5,1,-19,10,-4,-16,-25,14,-4,-10
Boston Celtics,Golden State Warriors,1,0,13,-13,20.0,71,-30,0.01100000000000001,193,480,0.0040000000000000036,-132,-246,0.03500000000000003,-96,91,-5,-242,-179.0,-182,61,-146,-268,-85,203,476.0,0,-8,-8,-17,-5,3,-6,-3,-1,-6,13,17,-19,5,-12,1,12,-12,25,-12,-23,-21,9,-9,-7
Boston Celtics,Houston Rockets,1,0,9,-9,10.0,-71,-277,0.007000000000000006,419,1017,0.015000000000000013,-115,-286,0.061000000000000054,-267,9,-258,230,-166.0,-100,41,-172,-254,-139,162,377.0,0,-1,-1,-8,5,10,-2,-21,-19,-11,10,22,-24,9,-1,7,-12,-9,19,-8,-27,-18,22,-5,-4
Boston Celtics,Indiana Pacers,0,0,11,-11,-5.0,-161,56,-0.025999999999999968,376,1021,0.0,-144,-203,0.010000000000000009,181,105,286,-254,-109.0,-105,4,-71,-230,-103,-90,564.0,0,-3,-3,2,11,-6,16,-15,-20,1,16,12,-3,-19,-15,-20,13,-1,20,-1,-9,-13,12,1,-9
LA Clippers,Boston Celtics,0,0,-11,11,-5.0,-4,-307,0.019999999999999962,-435,-1217,0.0050000000000000044,165,211,-0.0020000000000000018,-92,-33,-125,-80,247.0,184,-82,57,200,20,-278,-365.0,0,3,3,3,1,15,-13,24,28,-3,-20,-13,1,13,3,9,7,20,-26,15,5,12,-1,12,3
Los Angeles Lakers,Boston Celtics,0,0,-11,11,-20.0,-57,-375,0.01699999999999996,-365,-974,-0.0020000000000000018,243,337,-0.014000000000000012,-141,-96,-237,-13,172.0,44,-85,49,112,138,-236,-647.0,0,3,3,17,4,19,-10,14,18,4,-28,-27,7,17,13,18,2,10,-7,17,3,3,-21,11,11
Boston Celtics,Memphis Grizzlies,0,0,13,-13,25.0,-257,-272,-0.01699999999999996,316,849,0.0010000000000000009,-248,-343,0.013000000000000012,-123,-36,-159,-186,-312.0,-137,-10,-155,-408,-215,-446,349.0,0,-8,-8,-23,14,9,11,-10,-12,-1,29,28,-6,7,3,6,8,-26,22,2,-24,-27,25,6,-2
Boston Celtics,Miami Heat,1,0,24,-24,-20.0,95,244,-0.0030000000000000027,333,895,0.0010000000000000009,-58,-89,0.008000000000000007,135,23,158,-22,-141.0,-79,138,-87,28,48,465,701.0,0,-17,-17,5,-8,-13,1,-11,-15,-2,4,3,-2,-16,-2,-13,2,-6,14,-25,-12,1,-2,-16,-12
Boston Celtics,Milwaukee Bucks,1,0,13,-13,15.0,-32,300,-0.023999999999999966,296,952,-0.019000000000000017,-170,-330,0.049000000000000044,259,-99,160,54,-124.0,-12,68,-20,-166,-114,62,544.0,0,-8,-8,-12,4,-14,15,-7,-17,9,22,25,-22,-20,5,-14,-5,-5,2,-14,-1,-7,15,-3,-8
Minnesota Timberwolves,Boston Celtics,0,0,-12,12,0.0,-49,-200,0.006000000000000005,-224,-686,0.009000000000000008,160,224,-0.010000000000000009,-25,-57,-82,-2,213.0,65,-46,73,195,133,-162,-337.0,0,7,7,0,3,11,-3,4,4,-6,-18,-14,4,5,6,7,1,16,-11,9,10,10,-20,5,1
New Orleans Pelicans,Boston Celtics,0,0,-40,40,-15.0,-81,-14,-0.010000000000000009,-471,-1116,-0.02100000000000002,105,234,-0.04500000000000004,60,-200,-140,-25,228.0,112,-23,133,196,33,-528,-1520.0,0,24,24,12,6,2,5,26,24,14,-8,-16,21,-3,19,12,3,17,-21,5,20,11,-2,17,26
New York Knicks,Boston Celtics,0,0,-10,10,10.0,140,-67,0.023999999999999966,-426,-1161,0.0010000000000000009,106,131,0.0010000000000000009,-43,-176,-219,110,115.0,82,-128,111,104,116,-40,-411.0,0,2,2,-4,-9,7,-14,23,26,-2,-9,-7,-1,9,18,16,-5,3,-16,24,15,2,-17,1,5
Oklahoma City Thunder,Boston Celtics,1,0,7,-7,-25.0,247,218,0.019999999999999962,-265,-771,0.006000000000000005,118,107,0.019999999999999907,-62,18,-44,58,-12.0,258,13,97,328,47,347,308.0,0,-2,-2,23,-13,-8,-12,5,9,-4,-11,-4,-5,10,-1,3,-4,-1,-28,-3,13,23,-4,-4,-2
Boston Celtics,Orlando Magic,1,0,20,-20,20.0,283,348,0.017000000000000015,536,1063,0.04999999999999999,-213,-325,0.02400000000000002,19,266,285,257,-192.0,-140,-36,-66,-345,-228,889,757.0,0,-12,-12,-17,-13,-18,-8,-29,-22,-20,25,23,-13,-4,-21,-19,-14,-14,23,4,-7,-24,26,-20,-14
Philadelphia 76ers,Boston Celtics,0,0,-37,37,-5.0,-159,-214,-0.008000000000000007,-416,-905,-0.02699999999999997,188,279,-0.019000000000000017,-81,-372,-453,-243,144.0,163,-86,125,253,92,-546,-1258.0,0,23,23,3,10,12,4,20,16,17,-23,-21,9,12,23,22,13,7,-24,18,18,17,-10,18,22
Phoenix Suns,Boston Celtics,0,0,-25,25,0.0,-32,-307,0.01599999999999996,-281,-843,0.010000000000000009,128,137,0.01100000000000001,-150,-82,-232,133,180.0,4,-60,34,168,71,-217,-993.0,0,18,18,0,2,15,-8,6,11,-7,-12,-8,-4,18,11,17,-6,13,-1,11,2,8,-7,10,20
Portland Trail Blazers,Boston Celtics,0,0,-25,25,-10.0,-88,14,-0.01200000000000001,-400,-860,-0.025999999999999968,135,255,-0.03700000000000003,162,-207,-45,-192,336.0,89,-19,158,255,143,-441,-991.0,0,18,18,8,7,-2,7,18,13,16,-14,-18,20,-8,20,4,11,27,-18,3,25,19,-24,14,19
Sacramento Kings,Boston Celtics,0,0,-21,21,10.0,116,3,0.01599999999999996,-425,-1068,-0.01100000000000001,149,173,0.007000000000000006,-32,-60,-92,25,119.0,31,-95,55,245,77,-44,-708.0,0,13,13,-4,-7,-1,-7,22,23,9,-17,-11,-2,6,7,8,-3,4,-4,20,4,15,-8,2,13
San Antonio Spurs,Boston Celtics,0,0,-27,27,-20.0,13,-20,0.0030000000000000027,-299,-709,-0.01100000000000001,81,156,-0.025000000000000022,-37,-98,-135,204,165.0,84,3,61,60,-10,-192,-973.0,0,20,20,17,-2,4,-2,8,6,10,-6,-9,15,7,14,11,-10,8,-17,-1,6,1,1,8,18
Toronto Raptors,Boston Celtics,0,0,-31,31,-5.0,1,80,-0.0040000000000000036,-488,-1169,-0.020000000000000018,43,164,-0.051000000000000045,101,-117,-16,196,284.0,75,-104,189,435,46,-443,-1099.0,0,21,21,3,-1,-5,1,28,27,13,-2,-10,23,-6,17,2,-9,22,-13,23,28,28,-3,15,21
Boston Celtics,Utah Jazz,1,0,44,-44,5.0,108,110,0.008000000000000007,313,688,0.018000000000000016,-170,-271,0.025000000000000022,-50,42,-8,51,-439.0,34,92,-232,-246,-142,359,1513.0,0,-27,-27,-3,-9,-9,-3,-9,-5,-12,22,20,-16,2,-4,3,-4,-28,-1,-19,-29,-16,23,-13,-25
Washington Wizards,Boston Celtics,0,0,-43,43,-20.0,-180,-11,-0.02300000000000002,-382,-745,-0.032999999999999974,64,125,-0.02100000000000002,-66,-67,-133,-86,303.0,34,-32,133,315,52,-678,-1767.0,0,26,26,17,11,1,9,16,8,19,-5,-5,10,11,8,10,9,25,-6,6,20,22,-6,19,27
Charlotte Hornets,Brooklyn Nets,0,0,-7,7,-5.0,56,248,-0.007000000000000006,-48,-89,-0.004999999999999949,-65,-75,-0.0040000000000000036,109,210,319,-69,27.0,-32,16,-22,-163,-62,-1,-164.0,0,3,3,4,-2,-9,1,5,3,3,6,5,3,-12,-13,-20,2,2,6,-5,-4,-12,8,1,1
Chicago Bulls,Brooklyn Nets,1,0,13,-13,-5.0,457,485,0.032999999999999974,153,215,0.02300000000000002,-26,-79,0.02200000000000002,-69,442,373,320,-41.0,-18,34,-40,-254,-176,1041,455.0,0,-7,-7,4,-22,-24,-14,-10,-5,-12,4,6,-8,7,-28,-26,-19,-3,4,-8,-9,-22,16,-23,-6
Cleveland Cavaliers,Brooklyn Nets,1,0,38,-38,-5.0,566,384,0.05399999999999999,190,169,0.039000000000000035,58,97,-0.01100000000000001,23,313,336,241,-162.0,31,-2,-96,-211,3,1380,1365.0,0,-23,-23,4,-26,-21,-27,-11,-4,-23,-8,-8,6,-5,-24,-23,-15,-20,-6,1,-19,-17,-3,-28,-24
Brooklyn Nets,Dallas Mavericks,0,0,-13,13,10.0,-357,-134,-0.04199999999999998,93,431,-0.020000000000000018,-124,-198,0.017000000000000015,66,-209,-143,-7,93.0,3,-93,82,240,18,-745,-485.0,0,7,7,-9,17,7,19,-13,-18,10,17,17,-13,-6,12,6,2,10,-1,19,15,20,-2,14,7
Denver Nuggets,Brooklyn Nets,1,0,24,-24,15.0,638,300,0.069,-129,-613,0.03200000000000003,136,213,-0.017000000000000015,25,339,364,479,-75.0,17,50,-37,-254,12,1283,902.0,0,-19,-19,-10,-29,-12,-28,15,22,-20,-19,-22,12,-6,-26,-25,-23,-6,-3,-11,-8,-22,-5,-26,-17
Brooklyn Nets,Detroit Pistons,0,0,-18,18,-5.0,-417,-303,-0.03899999999999998,62,331,-0.018000000000000016,-80,-130,0.013000000000000012,-37,-246,-283,-102,26.0,-13,-79,44,3,-1,-852,-739.0,0,11,11,5,20,14,16,-7,-14,8,12,12,-9,7,17,16,9,2,1,17,10,1,1,17,13
Brooklyn Nets,Golden State Warriors,0,0,-22,22,10.0,-256,-352,-0.014000000000000012,-151,-243,-0.020000000000000018,-49,-115,0.02300000000000002,-135,-199,-334,-323,92.0,-132,-39,16,127,27,-712,-854.0,0,14,14,-9,9,20,4,9,6,9,6,10,-14,13,10,22,20,9,16,9,3,5,-4,12,16
Brooklyn Nets,Houston Rockets,0,0,-26,26,0.0,-398,-599,-0.018000000000000016,75,294,-0.009000000000000008,-32,-155,0.049000000000000044,-306,-281,-587,149,105.0,-50,-59,-10,141,-27,-753,-953.0,0,21,21,0,19,27,8,-9,-12,4,3,15,-19,17,21,28,-4,12,10,13,-1,8,9,16,19
Brooklyn Nets,Indiana Pacers,0,0,-24,24,-15.0,-488,-266,-0.05099999999999999,32,298,-0.02400000000000002,-61,-72,-0.0020000000000000018,142,-185,-43,-335,162.0,-55,-96,91,165,9,-1005,-766.0,0,19,19,10,25,11,26,-3,-13,16,9,5,2,-11,7,1,21,20,11,20,17,13,-1,22,14
LA Clippers,Brooklyn Nets,1,0,24,-24,5.0,323,15,0.044999999999999984,-91,-494,0.029000000000000026,82,80,0.010000000000000009,-53,257,204,1,-24.0,134,18,-105,-195,-92,637,965.0,0,-19,-19,-5,-13,-2,-23,12,21,-18,-13,-6,-4,5,-19,-12,-1,-1,-17,-6,-21,-14,12,-9,-20
Brooklyn Nets,Los Angeles Lakers,0,0,-24,24,10.0,-270,53,-0.04199999999999998,21,251,-0.02200000000000002,-160,-206,0.0020000000000000018,102,-194,-92,-68,99.0,6,-15,113,283,-26,-679,-683.0,0,19,19,-9,10,-2,20,-2,-11,11,21,20,-2,-9,9,3,6,11,-2,4,23,23,8,10,12
Brooklyn Nets,Memphis Grizzlies,0,0,-22,22,15.0,-584,-594,-0.04199999999999998,-28,126,-0.02300000000000002,-165,-212,0.0010000000000000009,-162,-326,-488,-267,-41.0,-87,-110,7,-13,-103,-1361,-981.0,0,14,14,-15,28,26,21,2,-5,14,22,21,-1,15,25,27,16,-5,13,23,2,-1,12,27,21
Miami Heat,Brooklyn Nets,1,0,11,-11,30.0,232,78,0.028000000000000025,11,-172,0.02300000000000002,-25,-42,0.0040000000000000036,-96,267,171,103,-130.0,29,-38,-75,-423,-160,450,629.0,0,-5,-5,-13,-6,-4,-11,-1,8,-13,3,4,-3,8,-20,-8,-10,-15,-5,4,-14,-27,15,-5,-11
Brooklyn Nets,Milwaukee Bucks,0,0,-22,22,5.0,-359,-22,-0.04899999999999999,-48,229,-0.04300000000000004,-87,-199,0.03700000000000003,220,-389,-169,-27,147.0,38,-32,142,229,-2,-853,-786.0,0,14,14,-4,18,3,25,5,-10,24,15,18,-17,-12,27,7,3,16,-7,7,25,19,2,18,15
Minnesota Timberwolves,Brooklyn Nets,1,0,23,-23,10.0,278,122,0.031000000000000028,120,37,0.03300000000000003,77,93,0.0020000000000000018,14,233,247,79,-58.0,15,54,-89,-200,21,753,993.0,0,-15,-15,-8,-11,-6,-13,-8,-3,-21,-11,-7,-1,-3,-16,-14,-7,-5,-2,-12,-16,-16,-7,-16,-22
New Orleans Pelicans,Brooklyn Nets,1,0,-5,5,-5.0,246,308,0.015000000000000013,-127,-393,0.0030000000000000027,22,103,-0.03300000000000003,99,90,189,56,-43.0,62,77,-29,-199,-79,387,-190.0,0,2,2,4,-8,-15,-5,14,17,-1,-1,-9,16,-11,-3,-9,-5,-4,-12,-16,-6,-15,11,-4,3
Brooklyn Nets,New York Knicks,0,0,-25,25,-20.0,-467,-255,-0.04899999999999999,82,438,-0.025000000000000022,-23,0,-0.013000000000000012,4,-114,-110,-191,156.0,-32,28,51,291,-4,-875,-919.0,0,20,20,12,23,10,24,-11,-19,17,2,0,6,-1,4,5,13,18,7,-3,11,24,4,20,18
